Title,Place,Land Size,PublishDate,Price
Land For Sale At Bagdol Lalitpur,Lalitpur > Bagdol  ,  Land Size (in aana/dhur): 7,02-10-2021,"Rs. 33,00,000"
Land On Sale At Sidhipur,Lalitpur > Siddhipur (Mahalaxmi)  ,  Land Size (in aana/dhur): 4.75,27-09-2021,"Rs. 21,00,000"
Land At Seepadole/doleswor Bhaktapur,Bhaktapur > Sipadol (Suryabinayak)  ,  Land Size (in aana/dhur): 7,17-09-2021,"Rs. 25,00,000"
Land On Sale At Golfutar,Kathmandu > Golfutar (Budhanilkantha), ,16-09-2021,"Rs. 56,00,000"
Roland Ex20 Arranger Keyboard,, ,09-07-2021,"Rs. 33,500"
3 Ropani Land Sell On Mid Baneshwor,Kathmandu > Mid Baneshwor  ,  Land Size (in aana/dhur): 46,06-01-2022,"Rs. 1,10,00,000"
Land Sell Tangal,Kathmandu > Tangal (Naxal)  ,  Land Size (in aana/dhur): 24,31-12-2021,"Rs. 1,50,00,000"
Land For Sale At Soaltee Mode,Kathmandu > Soaltee Mode (Kalimati)  ,  Land Size (in aana/dhur): 12,22-12-2021,"Rs. 85,00,000"
8 Anna Land On Sale At Sanepa Lalitpur,Lalitpur > Sanepa  ,  Land Size (in aana/dhur): 8,17-12-2021,"Rs. 1,00,00,000"
Land On Sale,Lalitpur > Bistachap (Godawari)  ,  Land Size (in aana/dhur): 800,17-12-2021,"Rs. 3,00,000"
"37 Ana Land For Sale In Imadol, Near Krishna Mandir",Lalitpur > Imadol (Mahalaxmi), ,16-12-2021,"Rs. 40,00,000"
"Residential Land On Sale At Tripureshwor, Kathmandu",Kathmandu > Tripureshwor  ,  Land Size (in aana/dhur): 11a,16-12-2021,"Rs. 75,00,000"
Commercial 7 Aanaa Land On Sale Dhumbarahi,Kathmandu > Dhumbarahi  ,  Land Size (in aana/dhur): 14,14-12-2021,"Rs. 75,00,000"
Commercial Land At Dhunge Adaa Kalanki,Kathmandu > Dhungeadda (Kalanki)  ,  Land Size (in aana/dhur): 22,12-12-2021,"Rs. 60,00,000"
Land For Sale,Kathmandu > Gagalphedi (Kageshwor)  ,  Land Size (in aana/dhur): 56 A,11-12-2021,"Rs. 7,00,000"
Land 300 M From Rajkulo Chowk Imadol,Lalitpur > Imadol (Mahalaxmi), ,11-12-2021,"Rs. 37,00,000"
Mulpani Land On Lease,Kathmandu > Mulpani (Kageshwor)  ,  Land Size (in aana/dhur): 6,08-12-2021,"Rs. 25,000"
4 Ropani Land At Gothatar,Kathmandu > Gothatar (Kageshwor)  ,  Land Size (in aana/dhur): 4,06-12-2021,"Rs. 20,000"
"Land Sale At Chisapani, Gardhoi, Bhairab Marg, Hetuda",Makwanpur (Hetauda) > Hetauda (Other Area)  ,  Land Size (in aana/dhur): 10,30-11-2021,"Rs. 8,00,000"
2 Ropani Rumal Shaped Land For Rent In Gwarko (200m Away From Rg-road),Lalitpur > Gwarko  ,  Land Size (in aana/dhur): 32,29-11-2021,"Rs. 1,30,000"
Chalnakhel Eco Friendly Land At Per Ana 19.5 Lakha Only,Kathmandu > Chalnakhel (Dakshinkali), ,25-11-2021,"Rs. 19,50,000"
Beautiful 24 Aana Land For Sale In Dhapakhel Near Gems School,Lalitpur > Dhapakhel, ,24-11-2021,"Rs. 32,00,000"
Land On Lease,Kathmandu > Syuchatar (Kalanki)  ,  Land Size (in aana/dhur): 8ana,18-11-2021,"Rs. 20,000"
Land For Sale At Purano Baneshwor,Kathmandu > Purano Baneshwor (Old Baneshwor)  ,  Land Size (in aana/dhur): 4.5,18-11-2021,"Rs. 77,00,000"
Land On Sale At Nuwakot,Nuwakot > Nuwakot (Other Area)  ,  Land Size (in aana/dhur): 15,15-11-2021,"Rs. 10,00,000"
0-2-3-0 Aana Land For Sale At Thimi Kamero Tar,Bhaktapur > Kamerotar  ,  Land Size (in aana/dhur): 2.3,10-11-2021,"Rs. 38,00,000"
4 Aana Land For Sale At Thimi Kamero Tar 9861055065,Bhaktapur > Kamerotar  ,  Land Size (in aana/dhur): 4,10-11-2021,"Rs. 42,00,000"
Land For Sale At Champi Lalitpur,Lalitpur > Champi (Karyabinayak)  ,  Land Size (in aana/dhur): 72,03-11-2021,"Rs. 9,00,000"
21 Aana Land For Sale,Bhaktapur > Dadhikot (Ananta)  ,  Land Size (in aana/dhur): 21,02-11-2021,"Rs. 17,00,000"
4.5 Aanaa Land On Sale Baneshwar Shankhamul,Kathmandu > New Baneshwor  ,  Land Size (in aana/dhur): 4.5,26-10-2021,"Rs. 67,00,000"
6.5 Aana Land For Sale In Nakhipot (3 Minute Walk From Big Mart),Lalitpur > Nakhipot  ,  Land Size (in aana/dhur): 6.5,25-10-2021,"Rs. 43,00,000"
5.1 Aana (19.5 /41 Haat) Land Sale Birauta,Kaski (Pokhara) > Birauta, ,26-09-2021,"Rs. 8,50,000"
Land For Sale At Pepsicola At Diwyeshwory,Bhaktapur > Sano Thimi  ,  Land Size (in aana/dhur): 4,21-09-2021,"Rs. 46,00,000"
House For Sale In Machapokhari 5 Anna Land,Kathmandu > Balaju, ,13-09-2021,"Rs. 3,50,00,000"
Land On Sale At Satdobato,Lalitpur > Satdobato  ,  Land Size (in aana/dhur): 8.5,03-09-2021,"Rs. 7,00,00,000"
10 Ropani Land On Sale At Kantipath Kathmandu,Kathmandu > Kantipath  ,  Land Size (in aana/dhur): 165,29-08-2021,"Rs. 2,00,00,000"
"Manigram, Manglapur, Shankarnagar Land On Sale",Rupandehi (Butwal) > Tilottama Campus, ,21-07-2021,"Rs. 2,00,000"
House/ Land For Sale At Bhaisepati,Lalitpur > Nakhudole (Bhaisepati)  ,  Land Size (in aana/dhur): 14,04-06-2021,"Rs. 4,65,00,000"
Urgent Sale Sale Land At Bhaisepati,Lalitpur > Bhaisepati / Sainbu  ,  Land Size (in aana/dhur): 5.5,28-05-2021,"Rs. 50,00,000"
Land Rover Freelander 2 Rear Roof Spoiler,, ,24-05-2021,"Rs. 15,000"
Lazimpat Land For Rent,Kathmandu > Lazimpat  ,  Land Size (in aana/dhur): 21,21-04-2021,"Rs. 65,000"
Multipurpose Land On Sell,Kavrepalanchok > Dhulikhel  ,  Land Size (in aana/dhur): 40,29-01-2021,"Rs. 2,50,000"
Land For Sale At Bhairahawa Ward No 2 Paklihawa,Rupandehi (Bhairahawa) > Airport Bhairahawa  ,  Land Size (in aana/dhur): 15,25-11-2019,"Rs. 3,50,000"
Urgent Land Sale At Chovar Near Himal Cement,Kathmandu > Chobhar (Kirtipur)  ,  Land Size (in aana/dhur): 8,15-10-2019,"Rs. 9,00,000"
"Kavre, Aapdhari Land",Kavrepalanchok > Kavrepalanchok (Other Area)  ,  Land Size (in aana/dhur): 1120,30-08-2018,"Rs. 4,50,000"
Budanilkantha Pasikot 6 Anna Land On Sale,Kathmandu > Pasikot (Budhanilkantha)  ,  Land Size (in aana/dhur): 6,31-12-2021,"Rs. 30,00,000"
Land On Sale At Mediciti5,Lalitpur > Bhaisepati / Sainbu  ,  Land Size (in aana/dhur): 23,31-12-2021,"Rs. 35,00,000"
Ilam Bazar Affordable Land.,Ilam > Ilam (Other Area)  ,  Land Size (in aana/dhur): 24,16-12-2021,"Rs. 3,75,000"
Land For Sale In Bafal Gawrko Lalitpur,Lalitpur > Gwarko  ,  Land Size (in aana/dhur): 8,13-12-2021,"Rs. 50,00,000"
Semi Commercial Land Sale In Nayabazar Ktm,Kathmandu > NayaBazar  ,  Land Size (in aana/dhur): 10,13-12-2021,"Rs. 1,07,00,000"
"Beautiful Land For Ur Dream Home At Dahachok, Kathmandu",Kathmandu > Dahachok (Chandragiri)  ,  Land Size (in aana/dhur): 24.5,12-12-2021,"Rs. 15,00,000"
Land For Sale At Dhapakhel Main Road,Lalitpur > Dhapakhel  ,  Land Size (in aana/dhur): 3,08-12-2021,"Rs. 41,00,000"
Greenland Chowk Najik Ekdam Ramro 5 Ana Jagga Bikrima,Kathmandu > Tokha  ,  Land Size (in aana/dhur): 5,06-12-2021,"Rs. 48,00,000"
"Land For Sale; Bhangal, Sundar Basti",Kathmandu > Bhangal (Budhanilkantha)  ,  Land Size (in aana/dhur): 5,18-11-2021,"Rs. 42,00,000"
Exchange Land With House,Bhaktapur > Bode  ,  Land Size (in aana/dhur): 8,15-11-2021,"Rs. 2,50,00,000"
Naagdaha Side Ko Land Dhapakhel,Lalitpur > Dhapakhel  ,  Land Size (in aana/dhur): 12,15-11-2021,"Rs. 22,00,000"
9 Aanaa Land On Sale Bhatbhateni Handigaun,Kathmandu > Bhat Bhateni (Naxal)  ,  Land Size (in aana/dhur): 9,13-11-2021,"Rs. 67,00,000"
Land For Sale At Chobhar Kathmandu,Kathmandu > Chobhar (Kirtipur)  ,  Land Size (in aana/dhur): 96,05-11-2021,"Rs. 16,00,000"
16 Ropani Land On Sale Ramkot,Kathmandu > Ramkot (Nagarjun)  ,  Land Size (in aana/dhur): 255,31-10-2021,"Rs. 11,00,000"
"Land For Sale Of Bangal, Budanilkantha",Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 14,24-10-2021,"Rs. 30,00,000"
Land For Sale Of Budanilkantha 02,Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 11,24-10-2021,"Rs. 40,00,000"
Land On Sale -tikathali,Lalitpur > Tikathali (Mahalaxmi)  ,  Land Size (in aana/dhur): 4,22-10-2021,"Rs. 42,00,000"
Land For Sale In Jhamsikhel,Lalitpur > Jhamsikhel  ,  Land Size (in aana/dhur): 7,21-10-2021,"Rs. 82,00,000"
Land For Sale At Sitapaila,Kathmandu > Sitapaila (Nagarjun)  ,  Land Size (in aana/dhur): 3.5,13-10-2021,"Rs. 31,00,000"
Land For Sale At Bode Dhunchepakha,Bhaktapur > Bode  ,  Land Size (in aana/dhur): 3.25,01-10-2021,"Rs. 28,00,000"
Land On Sale Bharatpur Chitwan,Chitwan (Bharatpur) > Mangalpur  ,  Land Size (in aana/dhur): резр,12-09-2021,"Rs. 6,00,000"
Chapali Land For Sale,Kathmandu > Chapali (Budhanilkantha)  ,  Land Size (in aana/dhur): 7.5,20-07-2021,"Rs. 43,50,000"
Land With An Old House On Sale At Raniban Code No Gjblos 2608,Kathmandu > Raniban (Nagarjun)  ,  Land Size (in aana/dhur): 32,07-06-2021,"Rs. 35,00,000"
Land Sell Dhillibazar,Kathmandu > Dillibazar, ,23-04-2021,"Rs. 80,00,000"
Residential Plotted Land For Sale At Bhaisepati Khoecha Height.,Lalitpur > Bungamati (Karyabinayak)  ,  Land Size (in aana/dhur): Aana,23-07-2020,"Rs. 18,00,000"
Land Sale In Sukedhara,Kathmandu > Sukedhara, ,30-12-2021,"Rs. 65,00,000"
Land Sell Darbar Marg,Kathmandu > Durbar Marg  ,  Land Size (in aana/dhur): 15,24-12-2021,"Rs. 3,00,00,000"
Land On Sale At Chundevi,Kathmandu > Chundevi (Maharajgunj)  ,  Land Size (in aana/dhur): 7,17-12-2021,"Rs. 1,00,00,000"
"Residential Land On Sale At Kupandol, Lalitpur.",Lalitpur > Kupandol  ,  Land Size (in aana/dhur): 9.5a,16-12-2021,"Rs. 73,00,000"
Land For Sale,Kathmandu > Baad Bhanjyang (Chandragiri)  ,  Land Size (in aana/dhur): 3,05-12-2021,"Rs. 16,50,000"
4.5 Ana Land For Sale In Kimdol Swoyambhu,Kathmandu > Kimdol (Swayambhu)  ,  Land Size (in aana/dhur): 4.5,03-12-2021,"Rs. 51,00,000"
Land For Sale,Lalitpur > Godamchaur (Godawari), ,01-12-2021,"Rs. 17,50,000"
"Land For Sale At Chapali, Bhangal",Kathmandu > Chapali (Budhanilkantha)  ,  Land Size (in aana/dhur): 6,29-11-2021,"Rs. 45,00,000"
3 Ana 1 Paisa Land On Sale Near Grande Futsal Purba Farkeko,Kathmandu > Tokha  ,  Land Size (in aana/dhur): 3.25,29-11-2021,"Rs. 43,00,000"
"Land For Sale; Hepali Hait,",Kathmandu > Hepali Height (Budhanilkantha)  ,  Land Size (in aana/dhur): 6.1,16-11-2021,"Rs. 47,00,000"
9 Katha Land In Nawalpur On Pitched Road (perfect For Resorts),Nawalpur > Kawasoti  ,  Land Size (in aana/dhur): 180,14-11-2021,"Rs. 75,000"
"Land At Rent On Chapali, Basbari",Kathmandu > Bansbari, ,30-10-2021,"Rs. 48,000"
Thaiba Land Rent,Lalitpur > Thaiba (Godawari)  ,  Land Size (in aana/dhur): 48,23-10-2021,"Rs. 25,000"
Land For Sale At Lokanthali Bhaktapur,Bhaktapur > Lokanthali  ,  Land Size (in aana/dhur): 6,22-10-2021,"Rs. 40,00,000"
Land For Sale At Imadol Lalitpur,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 3,21-10-2021,"Rs. 35,00,000"
Land For Sale In Changunarayan Bhaktpur,Bhaktapur > Changunarayan  ,  Land Size (in aana/dhur): 39,21-10-2021,"Rs. 7,00,000"
Beautiful Land Sale At Basnetar Height,Kathmandu > Dharmasthali (Tarkeshwar), ,19-10-2021,"Rs. 25,00,000"
Land On Sale At Kritipur,Kathmandu > Chobhar (Kirtipur), ,27-09-2021,"Rs. 26,00,000"
3/4/5/6/7 Anna Land On Sale Hot Property Dukuchaap,Lalitpur > Dukuchap (Karyabinayak)  ,  Land Size (in aana/dhur): 3/4/,27-09-2021,"Rs. 25,00,000"
Land For Sale,Ilam > Suryodaya  ,  Land Size (in aana/dhur): 272,23-09-2021,"Rs. 1,36,00,000"
Land Near Medicity Hospital,Lalitpur > Nakhu  ,  Land Size (in aana/dhur): 10,17-09-2021,"Rs. 47,00,000"
Beautiful Oil Canvas Landscape Painting,, ,16-09-2021,"Rs. 4,500"
"2.5 Aana, 3.5 Aana & 5 Aana Land On Rent At Kamerotar Planning, Thimi",Bhaktapur > Kamerotar, ,10-09-2021,"Rs. 7,000"
"Land On Sale At Chalnakhel, Dakshinkali Suitable For Hotels, Resorts",Kathmandu > Chalnakhel (Dakshinkali)  ,  Land Size (in aana/dhur): 36,19-08-2021,"Rs. 13,00,000"
"Land For Sale At Dhapakhel, Lalitpur Near Cg Housing",Lalitpur > Dhapakhel  ,  Land Size (in aana/dhur): 3.3,19-04-2021,"Rs. 25,00,000"
Commercial Land For Sale At Dhobighat,Lalitpur > Dhobighat  ,  Land Size (in aana/dhur): 28,16-04-2021,"Rs. 85,00,000"
Ithari Land Sales,Sunsari (Itahari) > Dulari  ,  Land Size (in aana/dhur): 13.1,11-04-2021,"Rs. 3,00,000"
House With Land For Sale In Dhangadhi,Kailali (Dhangadhi) > Bishal Nagar  ,  Land Size (in aana/dhur): 20 D,02-04-2021,"Rs. 2,00,00,000"
Land On Sale,Tanahun > Tanahun (Other Area)  ,  Land Size (in aana/dhur): 65 R,23-11-2020,"Rs. 6,50,000"
"52 Katta Land For Sale At Chitwan, Nepal",Chitwan (Bharatpur) > Rampur, ,31-12-2021,"Rs. 30,00,000"
Commercial Cum Residential Land Sale In Kapan,Kathmandu > Kapan, ,30-12-2021,"Rs. 39,00,000"
Land For Sell Jhor,Kathmandu > Jhor Mahankal (Tokha)  ,  Land Size (in aana/dhur): 80,21-12-2021,"Rs. 12,00,000"
Land On Sale At Kusunti,Lalitpur > Kusunti  ,  Land Size (in aana/dhur): 10,14-12-2021,"Rs. 47,00,000"
Land For Sale In Sano Khokana-bhaisepati,Lalitpur > Bhaisepati / Sainbu  ,  Land Size (in aana/dhur): 7,12-12-2021,"Rs. 40,00,000"
Land At Main Road Near Kandevta Than,Lalitpur > Kupandol  ,  Land Size (in aana/dhur): 24,11-12-2021,"Rs. 1,25,00,000"
Land For Sell,Makwanpur (Hetauda) > Hetauda (Other Area), ,09-12-2021,"Rs. 1,00,000"
12 Aana Residential Land For Sale Near Mediciti Hospital,Lalitpur > Bhaisepati / Sainbu  ,  Land Size (in aana/dhur): 12,06-12-2021,"Rs. 65,00,000"
Land On Sale,Sunsari (Itahari) > Baliya  ,  Land Size (in aana/dhur): 10 D,01-12-2021,"Rs. 6,00,000"
Land For Sale At Balkumari Lalitpur,Lalitpur > Balkumari  ,  Land Size (in aana/dhur): 5.5,24-11-2021,"Rs. 57,00,000"
Land For Sale,Lalitpur > Bhanimandal (Ekantakuna)  ,  Land Size (in aana/dhur): 10,20-11-2021,"Rs. 65,00,000"
"Land For Sale:narayanthan, Rudreshwar",Kathmandu > Narayanthan (Budhanilkantha)  ,  Land Size (in aana/dhur): 24,15-11-2021,"Rs. 45,00,000"
"10 Rooms House Made On 19 Aana Land For Rent In Paniopkhari, Lazimpat",Kathmandu > Panipokhari  ,  Land Size (in aana/dhur): 19,15-11-2021,"Rs. 2,00,000"
Land For Sell Baluwatar,Kathmandu > Baluwatar  ,  Land Size (in aana/dhur): 5,02-11-2021,"Rs. 4,50,00,000"
Land For Sale Dallu,Kathmandu > Dallu (Swayambhu), ,30-10-2021,"Rs. 70,00,000"
Land For Sale In Swayambhu,Kathmandu > Swoyambhu, ,29-10-2021,"Rs. 25,00,000"
Land For Sale In Mulpani Green Hill City,Kathmandu > Mulpani (Kageshwor)  ,  Land Size (in aana/dhur): 6,25-10-2021,"Rs. 45,00,000"
Roland E-x30 Arranger Keyboard,, ,22-10-2021,"Rs. 45,000"
5 Aana Land On Thali Height,Kathmandu > Thali (Kageshwor)  ,  Land Size (in aana/dhur): 5,11-10-2021,"Rs. 35,00,000"
Balkhu Inside Ring Road Land On Sale,Kathmandu > Balkhu  ,  Land Size (in aana/dhur): 4,16-09-2021,"Rs. 55,00,000"
Land For Sale In Dharan,Sunsari (Dharan) > Bhanu Marg  ,  Land Size (in aana/dhur): 9.25,10-09-2021,"Rs. 7,70,000"
Commercial Land Sale,Kathmandu > Ghattekulo  ,  Land Size (in aana/dhur): Aana,10-09-2021,"Rs. 5,65,00,000"
7 Anna Land On Sale At Bhaisepati Gokul Awas,Lalitpur > Bhaisepati / Sainbu  ,  Land Size (in aana/dhur): 7,27-08-2021,"Rs. 52,00,000"
100 Ropani Land On Sale At Lalitpur,Lalitpur > Godawari  ,  Land Size (in aana/dhur): 1600,24-08-2021,"Rs. 10,00,000"
Agriculture Land Sale In Bhorley Daada!,Makwanpur > Makwanpur (Other Area)  ,  Land Size (in aana/dhur): 46.7,12-08-2021,"Rs. 20,00,000"
"6 Anna South Face Vip Land On Sale Beside Deuba Niwas, Budhanilkantha",Kathmandu > Narayanthan (Budhanilkantha)  ,  Land Size (in aana/dhur): 6,22-06-2021,"Rs. 46,00,000"
"Bungalow Made On 11 Aana Land For Sale In Budanilkantha, Kathmandu",Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 10.5,15-06-2021,"Rs. 7,00,00,000"
Land Rover Freelander 2 Roof Rack Roof Rails Bars 2006-14 100%oem Fit,, ,24-05-2021,"Rs. 35,000"
Land For Sale Near Little Angles School,Lalitpur > Hattiban  ,  Land Size (in aana/dhur): 4.5,31-03-2021,"Rs. 35,00,000"
Land On Sale,Kaski (Pokhara) > Lekhnath (Outskirt)  ,  Land Size (in aana/dhur): 7,01-01-2022,"Rs. 50,00,000"
Land For Sell Gahanapokhari,Kathmandu > Handigaun  ,  Land Size (in aana/dhur): 17,31-12-2021,"Rs. 1,40,00,000"
Land On Sale At Mediciti4,Lalitpur > Bhaisepati / Sainbu  ,  Land Size (in aana/dhur): 19,31-12-2021,"Rs. 55,00,000"
7.2 Aana Land For Sale At Budhanilkantha Rudreshwore,Kathmandu > Chapali (Budhanilkantha)  ,  Land Size (in aana/dhur): 7.2,29-12-2021,"Rs. 43,00,000"
10 Aana Land For Sale In Lalitpur Bagdol,Lalitpur > Bagdol, ,28-12-2021,"Rs. 65,00,000"
Land On Sale,Lalitpur > Chapagaun (Bajrabarahi)  ,  Land Size (in aana/dhur): 9,01-12-2021,"Rs. 15,00,000"
6 Ana Land On Sale Near Tokha Saibaba School,Kathmandu > Tokha  ,  Land Size (in aana/dhur): 6,28-11-2021,"Rs. 36,00,000"
Baadbhanjyang Ma Land Sale,Kathmandu > Baad Bhanjyang (Chandragiri)  ,  Land Size (in aana/dhur): 3,26-11-2021,"Rs. 23,00,000"
Land On Sale In Pokhara,Kaski (Pokhara) > Airport Pokhara  ,  Land Size (in aana/dhur): 4aan,23-11-2021,"Rs. 1,80,00,000"
"17 Aana Land For Sale At Chandol, Kathmandu",Kathmandu > Baad Bhanjyang (Chandragiri)  ,  Land Size (in aana/dhur): 17,22-11-2021,"Rs. 65,00,000"
House For Sale At Samakhusi Greenland.,Kathmandu > Dhapasi (Tokha)  ,  Land Size (in aana/dhur): 5,20-11-2021,"Rs. 3,50,00,000"
3 Ropani Land Sale In Heavenly Place 11lkh/aana,Kathmandu > Sheshnarayan (Dakshinkali)  ,  Land Size (in aana/dhur): 46,11-11-2021,"Rs. 11,00,000"
11 Ana Land For Sale In Budhanilkantha Near Comfort Housing,Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 11,02-11-2021,"Rs. 45,00,000"
Land For Sale,Jhapa > Jhapa (Other Area)  ,  Land Size (in aana/dhur): 200,27-10-2021,"Rs. 75,000"
Land For Sale At Pepsicola Suncity,Kathmandu > Pepsicola (Kadaghari)  ,  Land Size (in aana/dhur): 6.5,26-10-2021,"Rs. 41,00,000"
Sale For Land(camaracyal),Lalitpur > Sanepa  ,  Land Size (in aana/dhur): 4,23-10-2021,"Rs. 1,50,00,000"
Pioneer Mathematics| Dreamland Publication| Class Xi,, ,22-10-2021,Rs. 700
Land For Sale In Mulpani Baba Chock,Kathmandu > Mulpani (Kageshwor)  ,  Land Size (in aana/dhur): 6,15-10-2021,"Rs. 28,00,000"
Land Sell In Gorkha Taranager,Gorkha > Gorkha (Other Area)  ,  Land Size (in aana/dhur): 4-0,11-10-2021,"Rs. 5,50,00,000"
Empty Land For Rent,Kathmandu > Tokha  ,  Land Size (in aana/dhur): 12,30-09-2021,"Rs. 50,000"
3.5 Ana Land For Sale At Kapan Sunakhari Tole,Kathmandu > Kapan  ,  Land Size (in aana/dhur): 3.5,30-09-2021,"Rs. 35,00,000"
Land On Thankot Highway On Lease,Kathmandu > Thankot (Chandragiri)  ,  Land Size (in aana/dhur): 28,21-09-2021,"Rs. 3,00,000"
Ektabasti Chwok Land On Sale,Kathmandu > Kapan  ,  Land Size (in aana/dhur): 13 A,21-09-2021,"Rs. 60,00,000"
Plotting Land-near Gajedi Taal (10 Dhur-jamma 35 Lakh Ma),Rupandehi > Sainamaina  ,  Land Size (in aana/dhur): 10,20-09-2021,"Rs. 3,50,000"
Land On Sale,Lalitpur > Bhaisepati / Sainbu  ,  Land Size (in aana/dhur): 5,16-09-2021,"Rs. 50,00,000"
Kalanki Ringroad Touched Land On Sale,Kathmandu > Kalanki  ,  Land Size (in aana/dhur): 9.2,15-09-2021,"Rs. 1,50,00,000"
Land On Sale At Bhaisepati Karyabinayak Code No Gjblos 1476,Lalitpur > Bhaisepati / Sainbu  ,  Land Size (in aana/dhur): 58,12-09-2021,"Rs. 1,000"
Roland Spd 30-bk,, ,11-09-2021,"Rs. 80,000"
Land For Sale At Narayanthan .,Kathmandu > Narayanthan (Budhanilkantha)  ,  Land Size (in aana/dhur): 9,06-09-2021,"Rs. 32,00,000"
1 Ropani Land On Sale At Bhaisepati Gokul Awas,Lalitpur > Bhaisepati / Sainbu  ,  Land Size (in aana/dhur): 16.1,01-09-2021,"Rs. 52,00,000"
Original Style Side Steps For Land Rover Freelander 2,, ,24-05-2021,"Rs. 40,000"
Land For Sale At Gothaataar,Kathmandu > Gothatar (Kageshwor)  ,  Land Size (in aana/dhur): 5 Aa,29-03-2021,"Rs. 40,00,000"
Bafal Land For Sale 8 Anna,Kathmandu > Bafal  ,  Land Size (in aana/dhur): 8,01-03-2021,"Rs. 44,00,000"
Land+house For Rent At Nayabazar Main Road,Kathmandu > NayaBazar  ,  Land Size (in aana/dhur): 10,11-12-2020,"Rs. 2,00,000"
Land In Sale Budhanilkantha,Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 7,29-06-2020,"Rs. 18,00,000"
Land Rent On Godawari Highway .,Lalitpur > Taukhel (Godawari)  ,  Land Size (in aana/dhur): 6.75,06-01-2022,"Rs. 15,000"
Commercial Land On Sale At Kalika Kanchanpur Code No 2256,Kanchanpur > Kanchanpur (Other Area), ,28-12-2021,"Rs. 20,00,000"
5 Ropani Land For Sale At Pokhara,Kaski (Pokhara) > Chorepatan (Outskirt), ,23-12-2021,"Rs. 1,50,00,000"
"Beautiful Piece Of Land For Sale In Lalitpur , Bhanimandal",Lalitpur > Bhanimandal (Ekantakuna), ,22-12-2021,"Rs. 65,00,000"
Urgent Land Sale In Inaurwa - Duhabi Road,Sunsari > Inaruwa  ,  Land Size (in aana/dhur): 14,18-12-2021,"Rs. 5,71,428"
Land For Sale,Lalitpur > Lubhu (Mahalaxmi), ,16-12-2021,"Rs. 19,00,000"
"Land For Sale At Hattigauda ,,",Kathmandu > Khadka Bhadrakali (Budhanilkantha)  ,  Land Size (in aana/dhur): 9,14-12-2021,"Rs. 42,00,000"
Balkumari Land For Sale,Lalitpur > Balkumari  ,  Land Size (in aana/dhur): 5.2,12-12-2021,"Rs. 65,00,000"
Land 300 M From Rata Makai Chowk,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 6,11-12-2021,"Rs. 37,00,000"
Land For Rent.,Kaski (Pokhara) > Matepani  ,  Land Size (in aana/dhur): 17,09-12-2021,"Rs. 25,000"
Land At Taudha For Sale,Kathmandu > Chobhar (Kirtipur)  ,  Land Size (in aana/dhur): 22,09-12-2021,"Rs. 36,00,000"
3.2 Paisa Land Bikri Ma,Kathmandu > Dahachok (Chandragiri)  ,  Land Size (in aana/dhur): 3.2,08-12-2021,"Rs. 27,50,000"
Land Sale At Bansbari Golfutar Hepali Hight,Kathmandu > Golfutar (Budhanilkantha)  ,  Land Size (in aana/dhur): 4,29-11-2021,"Rs. 60,00,000"
"Land On Sale In Mahabir Chowk,siraha",Siraha > Siraha (Other Area)  ,  Land Size (in aana/dhur): 12,28-11-2021,"Rs. 41,00,000"
Land For Sale ;budhanilkantha,Kathmandu > Narayanthan (Budhanilkantha)  ,  Land Size (in aana/dhur): 6,22-11-2021,"Rs. 40,00,000"
"Bungalow Made On 1.5 Ropani Land Is For Rent In Chundevi, Kathmandu",Kathmandu > Chundevi (Maharajgunj)  ,  Land Size (in aana/dhur): 24,18-11-2021,"Rs. 3,00,000"
Land 18 Aana,Kathmandu > Satikhel (Dakshinkali)  ,  Land Size (in aana/dhur): 18,15-11-2021,"Rs. 5,50,000"
Dakshinkali Highway Sangai (dollu) 16 Ropani Land Only 7lkh/anna,Kathmandu > Sheshnarayan (Dakshinkali)  ,  Land Size (in aana/dhur): 256,07-11-2021,"Rs. 7,00,000"
Sale For Land,Kathmandu > Sangla (Tarkeshwar)  ,  Land Size (in aana/dhur): 4,29-10-2021,"Rs. 28,00,000"
Land For Rent At Khasibazar Kalanki. 30 Aa,Kathmandu > Kalanki  ,  Land Size (in aana/dhur): 30,24-10-2021,"Rs. 75,000"
Land For Sale At Balkhu Khasibazar.,Kathmandu > Kalanki  ,  Land Size (in aana/dhur): 6,07-10-2021,"Rs. 42,00,000"
Holland Budgies Are Available With Us.,, ,06-10-2021,"Rs. 8,000"
"Residential Land On Sale // Rupandehi ,manigram",Rupandehi > Tilottama, ,21-09-2021,"Rs. 8,00,000"
Residential Land For Sell,Palpa > Tansen  ,  Land Size (in aana/dhur): 5,19-09-2021,"Rs. 2,70,000"
"Plotted Land For Sale At Badikhel, Godawari (s.n: 3134 )",Lalitpur > Badikhel (Godawari), ,15-09-2021,"Rs. 13,00,000"
Main Road Land 6.1 Anna Land Lele Sarswati Kund Main Highway Ma.,Lalitpur > Lele (Bajrabarahi)  ,  Land Size (in aana/dhur): 6.1,12-09-2021,"Rs. 8,50,000"
